1.000000000000000000e+00,3.371341203734494751e-01,3.453276049765098277e-01,1.479134340307518003e-01,6.861891712991835535e-02,6.875403137648251894e-02,5.153117774846526639e-02,1.189087322817055786e-01,5.622741314584646377e-02,7.118644545281714586e-02,6.016817174520391193e-02,7.471716398547351146e-02,8.619833705182262940e-02,7.709075627173894718e-02,1.145445176564513501e-01,5.048345661910101645e-02,4.513541405011792240e-02,8.384850455906026068e-02,4.876853689832686550e-02,1.579912569240459475e-01,4.578236353296771810e-02,8.589523088371087134e-02,3.426477384481538963e-02,2.444265354794821626e-02,1.010685241094569364e-02,9.249695843038426013e-03,9.749792850339175990e-03,6.349586744055783771e-02,1.602890936919447451e-02,1.455575470938406078e-02,3.340491679925759738e-02,1.138680332807412258e-02,7.870057805242424570e-03,1.168596246385347759e-02,1.226847145932654162e-02,4.319012147365020038e-02,8.291556447885560510e-03,2.226373998087192996e-02,1.110242928163061686e-02,7.824684533707998088e-03,3.083798997885125320e-02
3.371341203734494751e-01,1.000000000000000000e+00,3.835211913842589970e-01,1.976989948160600974e-01,8.264334413932004908e-02,1.326523124078920479e-01,1.149371403808654157e-01,2.321736948423343549e-01,1.099694095548263972e-01,1.286562725962457632e-01,1.417194348792448766e-01,1.966607938567930258e-01,2.185540135914574023e-01,1.827809422946778395e-01,2.767058454603324447e-01,1.161388698914425782e-01,7.780321623459660052e-02,1.556361220721613203e-01,1.072389491100407544e-01,3.190219735918511934e-01,5.787476907696289391e-02,2.182498867684962707e-01,8.337340471696264022e-02,4.333077933676851567e-02,1.761999533496083625e-02,1.437318483736484652e-02,1.481206430068982179e-02,7.025779690469097227e-02,3.025853804349190948e-02,2.413023077789529236e-02,6.893880991718119577e-02,1.861733341306144596e-02,1.222144147350137308e-02,1.788727191389139631e-02,2.221453773537739387e-02,6.844239185399467185e-02,1.276461620038553749e-02,3.519198766047928334e-02,1.832944900918642012e-02,1.417218921801806190e-02,5.535465467042070820e-02
3.453276049765098277e-01,3.835211913842589970e-01,1.000000000000000000e+00,2.094146165835022444e-01,8.591938413428810983e-02,8.766380486717798015e-02,9.014463701441580157e-02,1.575958659919516613e-01,8.566570880693560874e-02,8.170169864516385605e-02,9.123352636279284666e-02,1.245089116518040689e-01,1.285253494812039488e-01,1.382525267005061398e-01,1.767655264297615658e-01,9.330281496731182567e-02,6.625602410325795444e-02,1.396018304739318761e-01,8.571383255969648729e-02,2.253072158036237560e-01,6.125858393780349298e-02,1.460633315224262041e-01,6.092111393639081107e-02,3.940705085451815665e-02,1.678571177345874327e-02,1.467736370800717081e-02,1.542504669660486188e-02,8.067163554633210998e-02,2.769651377715415946e-02,2.478864537549257258e-02,5.688094230439048882e-02,1.851743148455633689e-02,1.282015466412380657e-02,1.840761503700894322e-02,2.103738930601291648e-02,6.732217904693547916e-02,1.292256205306795309e-02,3.565843141771578989e-02,1.757994022906999784e-02,1.366794140634621998e-02,5.313311392626735713e-02
1.479134340307518003e-01,1.976989948160600974e-01,2.094146165835022444e-01,1.000000000000000000e+00,2.577729371835574268e-01,1.389747956515175742e-01,1.326204457912701362e-01,2.150720699976441386e-01,1.527126851802147744e-01,1.273538646483413361e-01,9.690376522578164620e-02,1.126817860631096485e-01,1.141471780282381221e-01,1.626633831786435114e-01,1.442842485297083921e-01,1.359626365751489541e-01,2.048755913158481212e-01,3.849303519261665918e-01,1.549200074657911264e-01,2.205087156394746339e-01,2.358757538132607579e-01,1.155568593436214209e-01,8.207146890449897036e-02,1.216570345046344842e-01,4.525998563573245537e-02,4.411300274943898841e-02,4.631949214329850184e-02,2.181077171883735732e-01,6.324973209918963168e-02,7.356401975377742375e-02,1.208279562384329681e-01,5.879633548598021259e-02,3.874605512056900763e-02,6.177797720262680203e-02,5.424053338594250762e-02,2.089267403468604012e-01,4.227846446648405448e-02,1.244935444678347547e-01,4.998663268056817433e-02,3.571829127658440739e-02,1.363818425655864142e-01
6.861891712991835535e-02,8.264334413932004908e-02,8.591938413428810983e-02,2.577729371835574268e-01,1.000000000000000000e+00,1.070369848751822478e-01,8.326913429477768303e-02,1.229168052801951905e-01,1.432780531058966411e-01,8.894451063934523394e-02,4.240261197936857906e-02,5.397337044400594974e-02,6.233273895814471499e-02,8.907462943268598665e-02,6.032219897062168767e-02,9.859230066381642621e-02,2.763192882343415979e-01,1.791759916194065883e-01,9.000445942993813564e-02,1.093048227029742719e-01,2.116039643228656564e-01,5.566704201566338717e-02,4.390043043187681626e-02,1.485063535053270656e-01,6.503943910431500552e-02,8.582277047676148407e-02,9.071164390438804515e-02,4.035770274103704924e-01,6.702092885559675361e-02,1.108039110936876459e-01,9.360575413848787329e-02,9.120423302437534463e-02,6.997323400370632218e-02,1.059019195318440659e-01,6.838416174593457686e-02,2.279582604588347161e-01,6.742229588165357668e-02,1.563932643702203029e-01,8.127672213645886767e-02,4.509542809378315475e-02,1.296213277997500801e-01
6.875403137648251894e-02,1.326523124078920479e-01,8.766380486717798015e-02,1.389747956515175742e-01,1.070369848751822478e-01,1.000000000000000000e+00,1.502543259593089320e-01,4.619086322004655187e-01,3.913464028190258293e-01,4.070300625086106794e-01,1.188348280455653605e-01,1.326945062585374313e-01,2.757074290725868293e-01,1.749070541933883394e-01,1.158513937964776308e-01,1.988669156657469073e-01,1.868500825775560870e-01,1.555150170536071796e-01,1.018128287451051661e-01,1.583052535399083471e-01,1.019252974721884392e-01,1.178963869321395935e-01,7.301962056535811485e-02,7.045357061671179977e-02,3.106753345145988471e-02,2.741740469198132232e-02,2.721981238664466715e-02,6.854842752314527221e-02,4.148665773620666825e-02,3.933803722732823194e-02,9.929528047554014858e-02,3.595464591609384697e-02,2.271890484158133744e-02,3.330155487523214775e-02,3.673381167482904497e-02,7.289731876691725454e-02,2.115304142525096381e-02,5.511027964110835203e-02,3.043929943355982645e-02,2.246099791132805806e-02,6.527277969710509886e-02
5.153117774846526639e-02,1.149371403808654157e-01,9.014463701441580157e-02,1.326204457912701362e-01,8.326913429477768303e-02,1.502543259593089320e-01,1.000000000000000000e+00,1.841780443209992402e-01,2.376492752420795718e-01,1.117179719997019177e-01,1.324673674778094890e-01,1.905834276110442149e-01,1.924711657581512636e-01,2.561805773747036219e-01,1.657095953707821978e-01,3.901969688075889175e-01,1.522252423389002796e-01,2.111507067776164925e-01,2.650429639398789172e-01,2.320912109035689064e-01,8.537255749034045049e-02,1.728281547248770589e-01,1.448105155673492794e-01,1.219734128373074211e-01,6.566694513916546128e-02,4.760360940106905109e-02,4.391011575932992489e-02,7.088402147501247919e-02,1.137620106799067804e-01,8.591523176801253714e-02,1.764067148282487951e-01,6.474888735190305333e-02,4.412482861426304109e-02,5.491622039313780873e-02,8.466817160568507195e-02,1.361442593958215042e-01,3.907689884533404462e-02,8.984288585796727789e-02,5.706378132784709761e-02,5.383669347669749194e-02,1.354771109733312329e-01
1.189087322817055786e-01,2.321736948423343549e-01,1.575958659919516613e-01,2.150720699976441386e-01,1.229168052801951905e-01,4.619086322004655187e-01,1.841780443209992402e-01,1.000000000000000000e+00,3.486292630690621674e-01,3.711389517393455795e-01,1.616074180533992322e-01,1.902262445475956520e-01,3.241360274239624140e-01,2.572817528264936815e-01,1.941517902067930734e-01,2.256335636022613333e-01,1.896077190453097083e-01,2.292545556161940667e-01,1.453016004557468599e-01,2.675686333958709473e-01,1.148793481284710316e-01,1.810844321083521780e-01,1.007097210673909560e-01,8.204912721413377963e-02,3.363896366999487297e-02,2.721867671262779079e-02,2.729617763238368147e-02,8.347397424452591974e-02,5.018036587842979179e-02,4.327501315542672117e-02,1.274001078816272281e-01,3.809175792793403903e-02,2.357397007852403761e-02,3.505296136227357279e-02,4.162190396266490094e-02,9.512451044433624381e-02,2.338885502665402974e-02,6.424502108106140696e-02,3.328226354246677926e-02,2.559404930428374469e-02,8.595856364832966945e-02
5.622741314584646377e-02,1.099694095548263972e-01,8.566570880693560874e-02,1.527126851802147744e-01,1.432780531058966411e-01,3.913464028190258293e-01,2.376492752420795718e-01,3.486292630690621674e-01,1.000000000000000000e+00,2.291289758972049895e-01,1.036964646948461133e-01,1.409634394112700417e-01,2.257827699027787072e-01,2.106532179281707107e-01,1.190743997222312583e-01,3.341805512477445395e-01,2.576102641351631917e-01,1.967388860038658260e-01,1.494901772753920999e-01,1.666647074474942869e-01,1.226227766376244560e-01,1.258929229728167620e-01,9.433700796811687883e-02,1.241324188990276522e-01,5.859378157710942725e-02,4.908062472233727658e-02,4.714563216255634320e-02,9.325387411181644548e-02,7.693903647860993178e-02,7.515053556608987384e-02,1.569395044336285294e-01,6.702403278204670245e-02,4.430128203318998287e-02,5.873870691868608718e-02,7.053164006398919550e-02,1.231578645968605390e-01,3.772349009890581251e-02,9.248257481863003671e-02,5.558508121235334470e-02,4.317296857963805190e-02,1.174497048638189350e-01
7.118644545281714586e-02,1.286562725962457632e-01,8.170169864516385605e-02,1.273538646483413361e-01,8.894451063934523394e-02,4.070300625086106794e-01,1.117179719997019177e-01,3.711389517393455795e-01,2.291289758972049895e-01,1.000000000000000000e+00,1.212318818623171618e-01,1.188721338158697655e-01,2.023009930521436350e-01,1.511654456424789406e-01,1.116566137363985967e-01,1.471113417991883332e-01,1.540342651250330153e-01,1.425502450532132315e-01,9.602685878334348002e-02,1.669207585736859623e-01,8.843543881758726688e-02,1.060433683963138973e-01,7.001111689317147946e-02,6.317896798348361653e-02,2.755045890897071803e-02,2.256322760280363160e-02,2.278473456780032158e-02,5.906030262516843293e-02,3.909796511763264509e-02,3.266373545402979917e-02,9.530333279209636521e-02,2.998718561805801402e-02,1.859371140637177885e-02,2.822136596639081285e-02,3.247387166064114733e-02,6.385356246218612530e-02,1.921482556539582179e-02,4.887821142062313828e-02,2.731863469686318657e-02,1.995715254103156561e-02,5.829888937295605450e-02
