code,0,1,2
111,-0.08112097294331493,-0.39213456633771676,0.27713971360860296
113,-0.017499714153142176,-0.20429034247872196,0.16354461775024146
114,0.05233249033483325,0.025248741075277092,-0.13258209459886316
116,0.15243492508398643,-0.14134539986961445,-0.19635053598581173
121,0.1872334356841231,-0.15592537757753053,-0.3220549932780306
211,0.031108070835900156,-0.12446429528995595,0.059468738974462275
214,-0.029330123168980354,-0.17423803398294552,0.1614875422764532
215,0.0840405741972616,-0.14543318696911453,-0.014743568963769837
216,-0.03948707036419682,-0.23788425359781004,0.19875607543558976
224,0.1424628378500636,-0.16809972859758127,-0.1354156266885609
241,-0.07918678238412681,-0.22682106267799618,0.22767846044309345
242,-0.04092112777746719,-0.15205901492664478,0.16192327511786764
243,-0.07186571195882326,-0.2621916907510859,0.2345125230154057
247,-0.01673893723058776,-0.2062221493661459,0.16363210988913746
249,-0.12342635339943613,-0.41879635502656964,0.3093418597435527
312,-0.03710461858670746,-0.12883036270005602,0.14566180829186884
324,0.11595739571812536,-0.019986756647072113,-0.24449376045291019
331,0.08403979895169761,0.005960723572370583,-0.18572739824325799
341,-0.06736833006937899,-0.29843355978229913,0.24263035182655454
342,-0.05123870848370812,-0.22132836634239914,0.20268879365256187
351,0.14038233275751502,-0.22124746244742932,-0.08357459641454197
353,-0.007266593259418444,-0.13874899399173268,0.11867116677082076
411,0.045119134733668645,0.031145473395537585,-0.12455843369916376
511,0.16978815628845442,-0.1368597981713785,-0.26925753667692803
521,0.010332937412245275,0.216149366587287,-0.5490496764759032
522,0.02511818957722752,0.16342045856385834,-0.3712501509183061
523,0.06628003180296237,0.08738162894526717,-0.2945095600426612
525,0.056016569910429546,0.11021373021197413,-0.31834766419565264
541,-0.06182999816933263,0.12711465905390132,-0.071231022939694
542,0.04118982972767392,0.055315878873561854,-0.15401174454289845
612,0.11709018108578761,-0.05653409768119136,-0.19013510158776978
811,-0.05422064346998454,0.2657992184378214,-0.5326984828171913
812,-0.03845583322333756,0.24746915577248546,-0.49120705776048706
813,0.024432942752850493,0.18510745678867171,-0.4567826082391599
814,-0.02764647142580761,0.22683589051928332,-0.42810501882446156
816,-0.02401726123502672,0.22955284734005066,-0.456292373936984
822,-0.01240383395133767,0.20684130455191285,-0.397075967233877
823,0.047883216141747856,-0.01787559571517715,-0.06525234761031047
911,0.1865250170512114,-0.06284212016994041,-0.5167032822602252
913,-0.07593098681774914,0.27469309216524673,-0.4944807447867618
925,-0.0612172419302887,0.24053857571404735,-0.37142591032931105
