SOC2020,ONET
2311,25-1192.00
2311,25-1193.00
2311,25-1194.00
2311,25-1199.00
2311,25-9044.00
2312,25-1011.00
2312,25-1021.00
2312,25-1022.00
2312,25-1031.00
2312,25-1032.00
2312,25-1041.00
2312,25-1042.00
2312,25-1043.00
2312,25-1051.00
2312,25-1052.00
2312,25-1053.00
2312,25-1054.00
2312,25-1061.00
2312,25-1062.00
2312,25-1063.00
2312,25-1064.00
2312,25-1065.00
2312,25-1066.00
2312,25-1067.00
2312,25-1069.00
2312,25-1071.00
2312,25-1072.00
2312,25-1081.00
2312,25-1082.00
2312,25-1111.00
2312,25-1112.00
2312,25-1113.00
2312,25-1121.00
2312,25-1122.00
2312,25-1123.00
2312,25-1124.00
2312,25-1125.00
2312,25-1126.00
2312,25-1192.00
2312,25-1193.00
2312,25-1194.00
2312,25-1199.00
2312,25-9044.00
2313,25-2022.00
2313,25-2023.00
2313,25-2031.00
2313,25-2032.00
2314,25-2012.00
2314,25-2021.00
2315,25-2011.00
2316,25-2051.00
2316,25-2055.00
2316,25-2056.00
2316,25-2057.00
2316,25-2058.00
2316,25-2059.00
2316,25-2059.01
2317,25-3011.00
2319,25-3021.00
2319,25-3031.00
2319,25-3041.00
2319,25-3099.00
2319,25-9021.00
2321,11-9032.00
2322,11-9033.00
2322,11-9039.00
2323,25-9031.00
2324,11-9031.00
2329,11-9033.00
2411,13-1041.06
2411,23-1021.00
2411,23-1023.00
2412,23-1011.00
2419,23-1012.00
2419,23-2011.00
2421,13-2011.00
2421,13-2061.00
2422,13-2041.00
2422,13-2051.00
2422,13-2052.00
2423,13-2082.00
2431,13-1111.00
2431,13-1199.04
2431,13-2054.00
2432,11-2021.00
2433,13-2099.01
2433,15-2011.00
2433,15-2021.00
2433,15-2041.00
2433,15-2041.01
2433,15-2051.00
2433,15-2099.00
2433,15-2099.01
2433,19-1029.01
2433,19-3011.00
2433,19-3011.01
2434,15-1299.06
2434,33-3021.06
2435,43-6011.00
2439,19-3094.00
2439,43-4031.00
2440,11-9121.01
2440,13-1082.00
2451,17-1011.00
2451,17-1012.00
2452,19-3051.00
2453,13-1051.00
2454,17-1022.00
2454,17-1022.01
2455,19-3099.01
2461,21-1021.00
2461,21-1022.00
2461,21-1023.00
2461,21-1029.00
2462,21-1092.00
2463,21-2011.00
2463,21-2021.00
2463,21-2099.00
2464,21-1021.00
2469,23-1022.00
2471,25-4022.00
2472,25-4011.00
2472,25-4012.00
2472,25-4013.00
2481,17-2112.02
2482,11-3051.01
2482,11-9199.01
2482,11-9199.02
2482,13-1041.07
2483,13-1041.01
2491,27-3041.00
2492,27-3023.00
2493,27-3031.00
2494,11-2011.00
2494,11-2033.00
3111,17-3026.01
3111,19-4012.00
3111,19-4013.00
3111,19-4021.00
3111,19-4031.00
3111,19-4043.00
3111,19-4051.02
3111,29-2012.00
3111,29-2012.01
3112,17-3023.00
3112,17-3024.00
3112,17-3024.01
3112,49-2091.00
3113,17-3021.00
3113,17-3027.00
3113,17-3027.01
3113,49-9081.00
3113,53-6041.00
3114,17-3022.00
3114,17-3031.00
3115,17-3026.00
3115,17-3029.01
3115,19-4042.00
3115,19-4099.01
3116,43-5061.00
3119,17-3023.00
3119,19-4031.00
3120,17-1021.00
3120,17-3011.00
3120,17-3012.00
3120,17-3013.00
3120,17-3019.00
3131,15-1231.00
3132,15-1232.00
3133,15-1242.00
3133,15-1299.01
3211,29-2057.00
3211,29-2081.00
3211,29-2099.05
3212,29-2052.00
3213,29-1292.00
3213,29-2031.00
3213,29-2092.00
3213,29-2099.01
3213,51-9081.00
3213,51-9082.00
3214,29-1299.01
3214,31-9011.00
3219,21-1094.00
3219,29-2051.00
3221,21-1093.00
3221,39-9032.00
3222,21-1012.00
3222,21-1013.00
3223,21-1093.00
3223,43-4061.00
3224,13-2071.00
3224,21-1011.00
3224,21-1013.00
3224,21-1014.00
3224,21-1019.00
3229,21-1015.00
3229,21-1093.00
3231,25-2012.00
3231,25-2022.00
3231,25-2031.00
3232,25-2011.00
3240,29-2056.00
3311,33-1011.00
3311,33-1012.00
3311,33-9032.00
3311,49-3011.00
3311,53-5011.00
3312,33-3021.00
3312,33-3051.00
3312,33-3052.00
3313,33-2011.00
3313,33-2021.00
3314,33-3012.00
3319,11-9199.08
3319,13-1199.07
3319,13-2099.04
3319,33-3021.02
3319,33-3051.04
3319,33-9021.00
3411,27-1013.00
3412,27-3042.00
3412,27-3043.00
3412,27-3043.05
3412,27-3091.00
3413,27-2011.00
3413,27-2091.00
3413,27-3011.00
3413,41-9012.00
3414,27-2031.00
3414,27-2032.00
3415,27-2041.00
3415,27-2042.00
3416,27-1011.00
3416,27-2012.00
3416,27-2012.03
3416,27-2012.04
3416,27-2012.05
3416,27-4032.00
3417,27-4011.00
3417,27-4012.00
3417,27-4014.00
3417,27-4021.00
3417,27-4031.00
3417,39-3021.00
3421,27-1025.00
3422,27-1022.00
3429,27-1021.00
3429,27-1027.00
3429,27-1029.00
3431,27-2021.00
3432,27-2022.00
3432,27-2023.00
3433,39-9031.00
3511,53-2011.00
3511,53-2012.00
3511,53-2021.00
3512,53-5021.00
3520,13-1041.00
3520,23-2093.00
3520,23-2099.00
3531,13-1041.08
3531,41-3021.00
3531,41-3031.00
3532,13-2053.00
3533,13-2031.00
3534,11-3031.03
3541,13-1031.00
3541,13-1032.00
3541,13-1051.00
3541,13-2022.00
3541,13-2023.00
3541,47-4011.01
3542,13-1041.08
3543,13-1082.00
3543,43-6011.00
3544,13-1081.02
3544,43-9111.00
3549,13-1081.00
3549,13-1081.01
3549,29-2072.00
3551,13-1021.00
3551,13-1022.00
3551,13-1023.00
3552,13-1011.00
3552,41-4011.00
3552,41-4012.00
3552,41-9031.00
3553,13-1022.00
3553,13-1199.06
3554,13-1131.00
3554,13-1161.00
3554,13-1161.01
3555,41-9021.00
3555,41-9022.00
3556,11-2021.00
3556,11-2022.00
3557,13-1121.00
3560,29-2099.08
3571,13-1041.03
3571,13-1071.00
3571,13-1075.00
3571,13-1141.00
3572,21-1012.00
3573,13-1151.00
3574,13-1151.00
3581,13-1041.04
3581,45-2011.00
3581,47-4011.00
3581,53-6051.00
3581,53-6051.01
3581,53-6051.07
3582,19-5011.00
3582,19-5012.00
3582,33-2022.00
4111,13-2081.00
4111,43-4031.00
4111,43-4061.00
4112,43-4061.00
4113,43-9061.00
4121,43-4041.00
4121,43-4131.00
4122,43-3031.00
4122,43-3051.00
4123,43-3071.00
4123,43-4141.00
4123,43-5051.00
4124,43-3031.00
4129,41-2012.00
4129,43-3021.00
4129,43-3041.00
4129,43-3099.00
4129,43-4011.00
4131,29-2072.00
4131,43-3061.00
4131,43-4021.00
4131,43-4071.00
4132,43-9041.00
4133,43-4151.00
4133,43-5071.00
4133,43-5111.00
4134,43-5011.00
4134,43-5011.01
4135,25-4031.00
4135,43-4121.00
4136,43-4161.00
4141,11-3012.00
4142,43-1011.00
4143,43-1011.00
4151,43-4151.00
4152,43-9021.00
4159,43-6014.00
4159,43-9061.00
4159,43-9081.00
4211,31-9094.00
4211,43-6013.00
4212,43-6012.00
4213,43-6014.00
4214,43-6014.00
4215,43-6011.00
4215,43-6014.00
4216,43-4081.00
4216,43-4171.00
4217,27-3092.00
4217,43-9022.00
5111,13-1074.00
5112,45-2092.00
5113,37-1012.00
5113,37-3011.00
5113,37-3012.00
5114,37-3011.00
5119,19-4071.00
5119,33-3031.00
5119,37-3013.00
5119,45-4011.00
5211,47-2211.00
5211,51-4192.00
5212,51-4052.00
5212,51-4071.00
5213,51-4121.00
5213,51-4122.00
5214,47-2151.00
5214,47-2152.00
5221,51-4032.00
5221,51-4034.00
5221,51-4041.00
5221,51-4081.00
5221,51-4194.00
5221,51-9161.00
5221,51-9162.00
5222,51-4111.00
5223,47-4021.00
5223,49-3042.00
5223,49-3053.00
5223,49-3091.00
5223,49-9011.00
5223,49-9041.00
5223,49-9043.00
5223,49-9044.00
5223,49-9091.00
5223,49-9094.00
5223,51-2031.00
5224,17-3028.00
5224,49-9012.00
5224,49-9061.00
5224,49-9064.00
5224,49-9069.00
5224,51-2061.00
5224,51-9083.00
5225,49-9021.00
5231,49-2096.00
5231,49-3023.00
5231,49-3031.00
5231,49-3041.00
5231,49-3052.00
5231,49-3092.00
5231,53-6031.00
5232,49-3021.00
5233,51-9124.00
5234,49-3011.00
5234,53-6032.00
5235,47-2031.00
5235,51-4192.00
5236,49-3043.00
5241,27-4015.00
5241,47-2111.00
5241,47-2152.04
5241,47-2231.00
5241,49-2092.00
5241,49-2093.00
5241,49-2094.00
5241,49-2095.00
5242,49-2021.00
5242,49-2022.00
5242,49-9052.00
5243,49-2097.00
5244,49-2011.00
5245,49-2098.00
5246,49-2011.00
5246,49-9031.00
5249,49-9051.00
5249,49-9062.00
5249,49-9097.00
5250,47-1011.03
5250,49-1011.00
5311,47-2221.00
5311,51-2041.00
5312,47-2022.00
5312,51-9195.03
5313,47-2021.00
5313,49-9045.00
5314,47-2181.00
5315,47-2152.00
5315,47-4099.03
5315,49-9021.00
5316,47-2031.00
5317,47-2121.00
5319,47-2171.00
5319,47-4031.00
5319,49-9092.00
5321,47-2081.00
5321,47-2161.00
5322,47-2041.00
5322,47-2042.00
5322,47-2043.00
5322,47-2044.00
5322,47-2053.00
5323,47-2141.00
5323,47-2142.00
5323,51-9123.00
5330,47-1011.00
5411,51-6093.00
5412,51-6041.00
5412,51-6042.00
5413,51-6052.00
5413,51-6092.00
5419,51-6051.00
5421,51-5111.00
5421,51-9194.00
5422,51-5112.00
5422,51-9151.00
5423,51-5113.00
5431,51-3021.00
5431,51-3022.00
5431,51-3023.00
5432,51-3011.00
5433,51-3022.00
5434,35-1011.00
5434,35-2014.00
5435,35-1011.00
5435,35-2012.00
5435,35-2013.00
5435,35-2014.00
5436,11-9051.00
5436,35-1012.00
5441,27-1012.00
5441,51-9083.00
5441,51-9123.00
5441,51-9194.00
5441,51-9195.00
5441,51-9195.04
5441,51-9195.05
5442,27-1012.00
5442,51-7011.00
5442,51-9194.00
5443,27-1023.00
5449,27-1012.00
5449,49-9063.00
5449,51-4061.00
5449,51-4062.00
5449,51-7031.00
5449,51-7032.00
5449,51-9071.00
5449,51-9071.06
5449,51-9124.00
5449,51-9194.00
6111,39-9011.00
6112,25-3031.00
6112,25-3041.00
6112,25-9042.00
6113,25-3041.00
6113,25-9043.00
6114,39-9011.00
6116,39-9011.01
6117,39-9011.00
6121,37-2021.00
6129,31-9096.00
6129,33-9011.00
6129,39-2011.00
6129,39-2021.00
6129,45-2021.00
6131,29-1071.01
6131,29-2055.00
6131,29-2061.00
6131,29-9093.00
6131,31-1131.00
6131,31-2011.00
6131,31-2012.00
6131,31-2021.00
6131,31-2022.00
6131,31-9092.00
6131,31-9093.00
6131,31-9097.00
6131,31-9099.01
6131,31-9099.02
6132,29-2042.00
6132,53-3011.00
6133,31-9091.00
6134,39-9041.00
6135,31-1121.00
6135,31-1122.00
6135,31-1133.00
6135,39-9032.00
6136,39-1022.00
6137,33-9094.00
6137,39-7012.00
6138,39-4011.00
6138,39-4012.00
6138,39-4021.00
6138,39-4031.00
6211,33-9092.00
6211,39-3011.00
6211,39-3012.00
6211,39-3019.00
6211,39-3092.00
6212,41-3041.00
6213,43-4181.00
6213,53-2031.00
6214,43-4181.00
6214,53-4031.00
6214,53-6061.00
6219,39-7011.00
6219,39-7012.00
6221,39-5011.00
6221,39-5012.00
6221,39-5093.00
6222,39-5012.00
6222,39-5091.00
6222,39-5092.00
6222,39-5094.00
6231,37-2012.00
6232,37-2011.00
6232,39-6012.00
6240,37-1011.00
6250,11-9081.00
6311,33-3051.00
6311,33-3052.00
6312,33-3041.00
6312,53-6021.00
7111,41-2031.00
7112,41-2011.00
7113,41-9041.00
7114,31-9095.00
7115,41-2022.00
7121,41-9091.00
7122,43-3011.00
7122,43-5041.00
7123,41-9091.00
7124,41-9091.00
7125,27-1026.00
7129,41-2021.00
7129,41-3011.00
7129,41-3091.00
7129,41-4011.07
7129,41-9011.00
7131,13-1199.06
7132,41-1011.00
7211,43-4051.00
7212,43-2011.00
7212,43-2021.00
7213,43-5031.00
7213,43-5032.00
7214,43-4111.00
7219,43-4051.00
7220,41-1012.00
8111,51-3091.00
8111,51-3092.00
8111,51-3093.00
8111,51-3099.00
8111,51-9012.00
8111,51-9021.00
8111,51-9023.00
8111,51-9032.00
8111,51-9041.00
8111,51-9193.00
8112,51-6062.00
8112,51-6063.00
8112,51-6064.00
8112,51-9023.00
8112,51-9031.00
8113,51-6061.00
8113,51-6091.00
8113,51-8091.00
8113,51-8092.00
8113,51-8093.00
8113,51-8099.01
8113,51-9011.00
8113,51-9023.00
8114,51-2051.00
8114,51-4021.00
8114,51-4022.00
8114,51-4023.00
8114,51-4033.00
8114,51-4035.00
8114,51-4072.00
8114,51-4191.00
8115,51-4021.00
8115,51-4022.00
8115,51-4023.00
8115,51-4035.00
8115,51-4051.00
8115,51-4072.00
8115,51-4191.00
8115,51-4193.00
8115,51-9124.00
8115,51-9141.00
8119,47-2051.00
8119,51-9031.00
8119,51-9032.00
8119,51-9041.00
8119,51-9051.00
8119,51-9191.00
8119,51-9197.00
8120,51-4033.00
8120,51-9022.00
8120,51-9032.00
8131,51-7041.00
8131,51-7042.00
8131,51-9032.00
8131,51-9191.00
8131,51-9196.00
8132,47-5011.00
8132,47-5012.00
8132,47-5013.00
8132,47-5023.00
8132,47-5032.00
8132,47-5041.00
8132,47-5043.00
8132,47-5044.00
8132,47-5049.00
8132,47-5051.00
8132,47-5081.00
8132,47-5099.00
8133,47-2011.00
8133,49-9099.01
8133,51-8011.00
8133,51-8012.00
8133,51-8013.00
8133,51-8013.03
8133,51-8013.04
8133,51-8021.00
8133,53-7071.00
8134,51-8031.00
8135,43-9071.00
8135,51-5112.00
8139,51-4031.00
8139,53-7072.00
8139,53-7073.00
8141,51-2021.00
8141,51-2022.00
8141,51-2023.00
8142,51-2011.00
8142,51-2023.00
8142,51-2031.00
8143,51-9061.00
8144,45-2041.00
8144,45-4023.00
8144,51-9061.00
8145,49-3022.00
8145,49-3093.00
8146,51-6031.00
8149,51-2011.00
8149,51-2099.00
8149,51-7021.00
8151,49-9096.00
8152,47-2071.00
8152,47-4051.00
8152,47-4091.00
8153,47-4061.00
8159,47-2082.00
8159,47-2131.00
8159,47-2132.00
8159,47-2151.00
8159,47-4041.00
8159,49-9071.00
8159,49-9095.00
8160,51-1011.00
8160,51-2092.00
8211,53-3032.00
8212,53-3051.00
8212,53-3052.00
8212,53-3053.00
8213,53-3052.00
8213,53-3053.00
8213,53-3054.00
8214,43-5021.00
8214,53-3031.00
8214,53-3033.00
8214,53-4013.00
8215,25-3021.00
8219,53-3031.00
8219,53-3033.00
8221,53-7021.00
8221,53-7041.00
8222,53-7051.00
8229,45-2091.00
8229,45-4022.00
8229,47-2072.00
8229,47-2073.00
8229,47-5022.00
8229,53-7031.00
8231,53-4011.00
8231,53-4041.00
8232,49-3051.00
8232,53-5011.00
8232,53-5022.00
8232,53-5031.00
8232,53-6031.00
8233,53-1041.00
8233,53-2022.00
8234,53-4022.00
8234,53-4031.00
8239,53-6011.00
9111,45-2092.00
9111,45-2093.00
9112,45-4021.00
9119,45-2093.00
9119,45-3031.00
9121,47-2061.00
9129,47-2061.00
9129,47-3011.00
9129,47-3012.00
9129,47-3013.00
9129,47-3014.00
9129,47-3015.00
9129,47-3016.00
9129,47-3019.00
9131,37-2011.00
9131,53-7061.00
9132,51-9111.00
9132,53-7064.00
9139,47-5071.00
9139,49-9098.00
9139,51-9198.00
9139,53-7011.00
9139,53-7063.00
9211,43-5052.00
9211,43-5053.00
9211,43-9051.00
9219,43-9071.00
9221,37-2011.00
9222,53-7062.00
9223,37-2011.00
9223,37-2012.00
9223,37-2019.00
9224,51-6011.00
9224,51-6021.00
9225,53-1042.01
9225,53-7062.04
9225,53-7081.00
9226,53-7061.00
9229,47-4071.00
9231,33-1091.00
9231,33-3011.00
9231,33-9031.00
9231,33-9032.00
9231,33-9093.00
9231,33-9099.02
9232,33-9091.00
9233,25-9044.00
9241,53-7065.00
9249,41-9099.00
9249,47-2142.00
9249,53-7065.00
9251,53-1042.00
9251,53-1043.00
9252,53-7062.00
9252,53-7065.00
9252,53-7121.00
9253,53-7062.00
9259,53-7062.00
9259,53-7121.00
9261,35-1012.00
9262,31-1132.00
9263,35-2011.00
9263,35-2015.00
9263,35-2021.00
9263,35-3023.00
9263,35-9011.00
9263,35-9021.00
9264,35-3031.00
9264,35-3041.00
9264,35-9031.00
9265,35-3011.00
9266,35-3023.01
9267,39-3031.00
9267,39-3091.00
9269,39-3012.00
9269,39-3093.00
9269,39-6011.00
